Beschriftung (Obj-Id,Name);Bildlink;Creditline;
979,EG3493 N1379 ff.TIF;;Eg 3493 Oriental Museum, Durham;_
1656,EG4563 N1440 d1.TIF;;Eg 4563 Oriental Museum, Durham;_
20,00031ff.TIF;;Eg 501 Oriental Museum, Durham;_
1719,EG589 n1957.TIF;;Eg 589 Oriental Museum, Durham;_
961,EG1656 N1386 d1.TIF;;Eg 1656 Oriental Museum, Durham;_
1681,A.1908.362 stela (1).JPG;https://www.nms.ac.uk/explore-our-collections/collection-search-results/?item_id=300317;A.1908.362 National Museum of Scotland, Edinburgh;_
1683,A.1908.364 column fragment.JPG;https://www.nms.ac.uk/explore-our-collections/collection-search-results/?item_id=300380;A.1908.364 National Museum of Scotland, Edinburgh;_
1655,A.1965.24.tiff;https://www.nms.ac.uk/explore-our-collections/collection-search-results/?item_id=300007;A.1965.24 National Museum of Scotland, Edinburgh;_
1652,A.1908.360.tiff;http://www.nms.ac.uk/explore/collection-search-results/?item_id=300315;A.1908.360 National Museum of Scotland, Edinburgh;_
1653,A.1908.361_676734.tif;http://www.nms.ac.uk/explore/collection-search-results/?item_id=300316;A.1908.361 National Museum ofScotland, Edinburgh;_
2007,A.1971.167;https://www.nms.ac.uk/explore-our-collections/collection-search-results/?item_id=301685;A.1971.167 National Museum ofScotland, Edinburgh;_
124,D_39910.jpg;;2607 Museo Archeologico Nazionale, Florence;_
1645,NE_992.jpg;;2227 Museo Archeologico Nazionale, Florence;_
2008,NE_992.jpg;;2228 Museo Archeologico Nazionale, Florence;_
2009,NE_990.jpg;;2229 Museo Archeologico Nazionale, Florence;_
2010,NE_990.jpg;;2230 Museo Archeologico Nazionale, Florence;_
1649,NE_995.jpg;;2237 Museo Archeologico Nazionale, Florence;_
277,NE_2448-3.jpg;;2584 Museo Archeologico Nazionale, Florence;_
957,NE_2450-3.jpg;;2565 Museo Archeologico Nazionale, Florence;_
574,NE_2458_2.jpg;;2541 Museo Archeologico Nazionale, Florence;_
173,D_10222.jpg;;1791 Museo Archeologico Nazionale, Florence;_
1087,D_30559.jpg;;2338 Museo Archeologico Nazionale, Florence;_
1639,D_30559.jpg;;2339 Museo Archeologico Nazionale, Florence;_
478,D_32439.jpg;;2222 Museo Archeologico Nazionale, Florence;_
2011,D_32439.jpg;;2223 Museo Archeologico Nazionale, Florence;_
2012,D_32435.jpg;;2224 Museo Archeologico Nazionale, Florence;_
2013,D_32435.jpg;;2225 Museo Archeologico Nazionale, Florence;_
1646,D_34652.jpg;;1812 Museo Archeologico Nazionale, Florence;_
22,D_37463.jpg;;2567 Museo Archeologico Nazionale, Florence;_
952,D_37498.jpg;;1505 Museo Archeologico Nazionale, Florence;_
1182,D_60940_2566.jpg;;2566 Museo Archeologico Nazionale, Florence;_
358,D_66101.jpg;;2557 Museo Archeologico Nazionale, Florence;_
1073,D_97796.jpg;;3078 Museo Archeologico Nazionale, Florence;_
1650,5287.jpg;;1985 Museo Archeologico Nazionale, Florence;_
1622,60016_2610.jpg;;2610 Museo Archeologico Nazionale, Florence;_
1070,60018_3250.jpg;;2350 Museo Archeologico Nazionale, Florence;_
1085,60063_3080.jpg;;3080 Museo Archeologico Nazionale, Florence;_
456,LMJ PRS Inv. 3671 (a).JPG;;3176 Museum Joanneum, Graz;
236,1924.123 (1).jpg;http://sammlungonline.mkg-hamburg.de/de/object/Relieffragment-aus-dem-Grab-des-Maja/1924.123/dc00125415;1924.123 Museum für Kunstgewerbe, Hamburg;_
1235,1935.200.181.jpg;;1935.200.181 Museum August Kestner, Hanover;_
1371,1935,200,0187#001.jpg;;1935.200.187 Museum August Kestner, Hanover;_
1370,1935,200,0191+1935,200,0190#002.tif;;1935.200.190 Museum August Kestner, Hanover;_
1028,1935,200,0191+1935,200,0190#002.tif;;1935.200.191 Museum August Kestner, Hanover;_
1235,1935,200,0196#001.tif;;1935.200.196 Museum August Kestner, Hanover;_
302,1935,200,0229#001.tif;;1935.200.229 Museum August Kestner, Hanover;_
1368,1935,200,0230#001.tif;;1935.200.230 Museum August Kestner, Hanover;_
850,2933#001.tif;;2933 Museum August Kestner, Hanover;_
1367,2934#001.tif;;2934 Museum August Kestner, Hanover;_
78,2935, I1,009#001.jpg;;2935 Museum August Kestner, Hanover;_
1298,2946_a.jpg;;2946 Museum August Kestner, Hanover;_
1339,4506#001.tif;;4506 Museum August Kestner, Hanover;_
805,559.jpg;;559 Sammlung des Ägyptologisches Instituts der Universität Heidelberg;_
68,ÆIN 0045, Pille fra Iri-iris grav #1.TIF;;ÆIN 45 Ny Carlsberg Glyptothek, Copenhagen;_
222,ÆIN 0897, Meri-Sakhmets stele viet til Ptah og Sakhmet.TIF;;ÆIN 897 Ny Carlsberg Glyptothek, Copenhagen;_
286,ÆIN 0134, Poliostelen (Dørvogteren Romas stele viet til gudinden Astarte.TIF;;ÆIN 134 Ny Carlsberg Glyptothek, Copenhagen;_
1386,ÆIN 0050, Vesiren Paser.TIF;;ÆIN 50 Ny Carlsberg Glyptothek, Copenhagen;_
801,ÆIN 716;;ÆIN 716 Ny Carlsberg Glyptothek, Copenhagen;_
924,ÆIN 1554, Pagergers offerbord.TIF;;ÆIN 1554 Ny Carlsberg Glyptothek, Copenhagen;_
997,ÆIN 0102, Statuesokkel #1, fra oven.TIF;;ÆIN 102 Ny Carlsberg Glyptothek, Copenhagen;_
1289,ÆIN 0053, Blokstatue.TIF;;ÆIN 53 Ny Carlsberg Glyptothek, Copenhagen;_
799,ÆIN 0714, Dele af to scener fra Amen-em-onets grav #2.TIF;;ÆIN 714 Ny Carlsberg Glyptothek, Copenhagen;_
800,ÆIN 0715, Amen-em-onet og hans hustru.TIF;;ÆIN 715 Ny Carlsberg Glyptothek, Copenhagen;_
1529,ÆIN 0048, Brudstykke af skatmesteren Tias sarkofag.TIF;;ÆIN 48 Ny Carlsberg Glyptothek, Copenhagen;_
959;http://www.thorvaldsensmuseum.dk/en/collections/search?utf8=%E2%9C%93&order=artist&q=h264;H 264 Thorvaldsen Museum, Copenhagen;_
960;http://www.thorvaldsensmuseum.dk/en/collections/search?utf8=%E2%9C%93&order=artist&q=h267;H 267 Thorvaldsen Museum, Copenhagen;_
921;http://www.thorvaldsensmuseum.dk/en/collections/search?utf8=%E2%9C%93&order=artist&q=h349;H 349 Thorvaldsen Museum, Copenhagen;_
523;http://www.thorvaldsensmuseum.dk/en/collections/search?utf8=%E2%9C%93&order=artist&q=h361;H 361 Thorvaldsen Museum, Copenhagen;_
1867;http://www.thorvaldsensmuseum.dk/en/collections/search?utf8=%E2%9C%93&order=artist&q=h362;H 362 Thorvaldsen Museum, Copenhagen;_
1868;http://www.thorvaldsensmuseum.dk/en/collections/search?utf8=%E2%9C%93&order=artist&q=h365;H 365 Thorvaldsen Museum, Copenhagen;_
525,AS-9569.jpg;http://samlinger.natmus.dk/AS/asset/9569;Aad 20 Nationalmuseet, Copenhagen;_
497,20170809_141039.jpg;;Aad 17 Nationalmuseet, Copenhagen;_
